condition,mean,median,std,distance_to_target
Adaptive,0.6788849108031496,0.6851851851851852,0.14141652338149094,0.07111508919685039
Non-Adaptive,0.7587868480725624,0.7731481481481481,0.15597786088582655,0.008786848072562359
